City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description
337,Mumbwa,ZM,-14.9783,27.0619,75.87,74,77,4.09,broken clouds
338,Atar,MR,20.5169,-13.0499,78.91,13,34,18.7,scattered clouds
339,Shitanjing,CN,39.2342,106.3439,24.35,69,0,4.09,clear sky
340,Bam,IR,29.106,58.357,65.05,25,0,9.19,clear sky
341,Kosh-Agach,RU,50.0,88.6667,4.3,78,0,2.24,clear sky
342,Samarai,PG,-10.6167,150.6667,84.79,77,85,11.83,overcast clouds
343,Lagoa,PT,39.05,-27.9833,58.71,68,16,33.58,few clouds
344,Aksu,CN,41.1231,80.2644,25.9,81,100,4.9,overcast clouds
345,Rota,ES,36.6224,-6.3586,59.0,77,75,6.91,broken clouds
346,Aksarka,RU,66.5606,67.7975,-19.61,87,100,3.53,overcast clouds
347,Sechura,PE,-5.5569,-80.8222,72.93,74,100,10.27,overcast clouds
