City_ID,City,Country,Max Temp,Current description,Lat,Lng,Hotel Name
593,Gunnedah,AU,68.0,clear sky,-30.9833,150.25,Gunnedah Motor Inn
594,Ngorongoro,TZ,65.57,moderate rain,-3.2397,35.4875,Simba Special Campsite B
597,Kanniyakumari,IN,80.65,clear sky,8.0833,77.5667,Sparsa
599,Isangel,VU,81.39,light rain,-19.55,169.2667,Volcano Sea View Tree House
600,Asyut,EG,64.4,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
602,Port Macquarie,AU,66.2,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
603,Cap Malheureux,MU,84.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
608,Anori,BR,76.01,overcast clouds,-3.7728,-61.6442,Novo Hotel 05 Irmaos
609,Sabya,SA,87.8,few clouds,17.1495,42.6254,Aseel Hotel Apartment
611,Salumbar,IN,71.6,haze,24.1333,74.05,chatra chaya guest house
612,Sinnamary,GF,80.62,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
621,Cam Ranh,VN,73.4,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
627,Manado,ID,80.6,scattered clouds,1.4869999999999999,124.8455,Aryaduta Hotel
628,Mafeteng,LS,78.8,broken clouds,-29.823,27.2374,Mafeteng police station
629,Sao Felix Do Xingu,BR,78.69,moderate rain,-6.6447,-51.995,Rio Xingu Camping
630,Mahebourg,MU,84.2,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
631,Mayumba,GA,81.75,overcast clouds,-3.432,10.6554,LIKWALE LODGE
636,Omidiyeh,IR,71.6,clear sky,30.7597,49.705,Royal Complex
637,Ahipara,NZ,66.74,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
638,Abu Zabad,SD,87.22,clear sky,12.35,29.25,محي الدين نوري
639,Imbituba,BR,73.4,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
640,Aswan,EG,70.29,overcast clouds,24.0934,32.907,Nuba Nile
641,Aquiraz,BR,80.6,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
642,Gympie,AU,73.99,clear sky,-26.1898,152.665,Mary River Motor Inn
643,Nouakchott,MR,77.0,dust,18.0858,-15.9785,Hôtel Iman
645,Xai-Xai,MZ,82.11,overcast clouds,-25.0519,33.6442,Complexo da Familia
647,Maldonado,UY,82.4,clear sky,-34.6667,-54.9167,La Cimarrona
649,Porto Velho,BR,75.2,moderate rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
651,Kailua,US,71.6,moderate rain,21.4022,-157.7394,Sheffield House Bed & Breakfast
652,Loikaw,MM,61.32,clear sky,19.6742,97.2094,Myat Nan Taw Hotel
653,Vanimo,PG,79.52,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
660,Antofagasta,CL,68.0,few clouds,-23.65,-70.4,Holiday Inn Express Antofagasta
661,Abha,SA,77.0,few clouds,18.2164,42.5053,Abha Hotel
663,Shambu,ET,74.84,scattered clouds,9.5667,37.1,Wabe Hotel
669,Bambanglipuro,ID,79.02,light rain,-7.95,110.2833,Puri Brata
670,Kampot,KH,77.0,clear sky,10.6167,104.1833,Two Moons Hotel
673,Abu Kamal,SY,60.21,overcast clouds,34.4506,40.9171,محطة التلفاز
674,Ourossogui,SN,86.0,broken clouds,15.6064,-13.3211,Hotel welma
675,Hervey Bay,AU,75.0,clear sky,-25.2986,152.8535,Shelly Bay Resort
678,Kiama,AU,64.0,light rain,-34.6833,150.8667,The Sebel Kiama Harbourside
679,Moroni,KM,83.25,overcast clouds,-11.7022,43.2551,Hotel les Arcades
